group_10297	,,group_10297
group_10120	,,group_10120
group_10123	,,group_10123
group_10122	,,group_10122
group_10125	,,group_10125
group_10124	,,group_10124
group_10127	,,group_10127
group_10126	,,group_10126
group_11658	,,group_11658
group_11659	,,group_11659
group_16608	,,group_16608
group_16609	,,group_16609
group_11650	,,group_11650
group_11651	,,group_11651
group_11652	,,group_11652
group_11653	,,group_11653
group_11654	,,group_11654
group_11655	,,group_11655
group_16600	,,group_16600
group_11657	,,group_11657
group_26599	,,group_26599
group_29901	,,group_29901
group_20470	,,group_20470
group_26598	,,group_26598
group_63599	,,group_63599
group_29838	,,group_29838
group_36479	,,group_36479
group_36478	,,group_36478
group_74088	,,group_74088
group_74089	,,group_74089
group_74084	,,group_74084
group_74085	,,group_74085
group_74086	,,group_74086
group_20471	,,group_20471
group_52842	,,group_52842
group_74081	,,group_74081
group_74082	,,group_74082
group_74083	,,group_74083
group_64287	,,group_64287
group_64286	,,group_64286
group_63068	,,group_63068
group_63069	,,group_63069
group_64283	,,group_64283
group_64282	,,group_64282
group_64281	,,group_64281
group_39900	,,group_39900
group_63062	,,group_63062
group_26591	,,group_26591
group_63060	,,group_63060
group_63061	,,group_63061
group_63066	,,group_63066
group_63067	,,group_63067
group_31504	,,group_31504
group_63065	,,group_63065
group_67958	,,group_67958
group_67959	,,group_67959
clgR	,,clgR
group_36472	,,group_36472
group_67952	,,group_67952
group_67953	,,group_67953
group_35470	,,group_35470
group_35471	,,group_35471
group_67956	,,group_67956
group_35477	,,group_35477
group_67954	,,group_67954
group_67955	,,group_67955
group_71902	,,group_71902
group_65888	,,group_65888
group_65889	,,group_65889
group_71903	,,group_71903
group_15953	PA14_50300,,group_15953
group_15952	PA14_50290,fliC,group_15952
group_15951	PA14_50280,flaG,group_15951
group_65881	,,group_65881
group_15957	PA14_50360,flgK,group_15957
group_65887	,,group_65887
group_65884	,,group_65884
group_65885	,,group_65885
group_19069	,,group_19069
group_19068	,,group_19068
group_36475	,,group_36475
dns	,,dns
group_19063	,,group_19063
group_19062	,,group_19062
group_19061	,,group_19061
group_19060	,,group_19060
group_19067	,,group_19067
group_19066	,,group_19066
group_19065	,,group_19065
group_19064	,,group_19064
group_38109	,,group_38109
group_38108	,,group_38108
group_48179	,,group_48179
group_48178	,,group_48178
group_38105	,,group_38105
group_38104	,,group_38104
group_38107	,,group_38107
group_38106	,,group_38106
group_38101	,,group_38101
group_38100	,,group_38100
group_38103	,,group_38103
group_38102	,,group_38102
group_17559	,,group_17559
group_17558	,,group_17558
group_17555	,,group_17555
group_17554	,,group_17554
group_17557	,,group_17557
group_17556	,,group_17556
group_17551	,,group_17551
group_17550	,,group_17550
group_17553	,,group_17553
group_17552	,,group_17552
group_74628	,,group_74628
group_74629	,,group_74629
group_71909	,,group_71909
group_66409	,,group_66409
group_71406	,,group_71406
group_74620	,,group_74620
group_74621	,,group_74621
group_74622	,,group_74622
group_74623	,,group_74623
group_74624	,,group_74624
group_74625	,,group_74625
group_74626	,,group_74626
group_74627	,,group_74627
group_51053	,,group_51053
group_54214	,,group_54214
group_66406	,,group_66406
group_69679	,,group_69679
group_71403	,,group_71403
group_69039	,,group_69039
group_3726	,,group_3726
group_66404	,,group_66404
group_58884	,,group_58884
group_51313	,,group_51313
group_66403	,,group_66403
group_55877	,,group_55877
group_51050	,,group_51050
group_72662	,,group_72662
group_72663	,,group_72663
group_72660	,,group_72660
group_72661	,,group_72661
group_72666	,,group_72666
group_72667	,,group_72667
group_72664	,,group_72664
group_72665	,,group_72665
group_6530	,,group_6530
group_72668	,,group_72668
group_72669	,,group_72669
group_58888	,,group_58888
group_52777	,,group_52777
group_3723	,,group_3723
group_58889	,,group_58889
group_61700	,,group_61700
group_3720	,,group_3720
group_1237	,,group_1237
group_6533	,,group_6533
group_37184	,,group_37184
group_51051	,,group_51051
group_64759	,,group_64759
group_64758	,,group_64758
group_61509	A7J11_01863,aadA21,group_61509
group_61508	,,group_61508
group_37908	,,group_37908
group_37909	,,group_37909
group_61503	,,group_61503
group_61502	,,group_61502
group_61501	,,group_61501
group_37907	,,group_37907
group_61507	,,group_61507
group_37901	,,group_37901
group_61505	,,group_61505
group_37903	,,group_37903
group_67228	,,group_67228
group_20012	,,group_20012
group_28851	,,group_28851
group_20013	,,group_20013
group_67220	,,group_67220
group_67221	,,group_67221
gntR_4	,,gntR_4
group_67223	,,group_67223
gntR_2	PA14_53920,,gntR_2
gntR_3	PA14_34660,gntR,gntR_3
group_67226	,,group_67226
gntR_1	PA14_64820,vanR,gntR_1
group_20011	,,group_20011
group_9458	,,group_9458
group_9459	,,group_9459
group_9456	,,group_9456
group_9457	,,group_9457
group_9454	,,group_9454
group_9455	,,group_9455
group_9452	,,group_9452
group_9453	,,group_9453
group_9450	,,group_9450
group_9451	,,group_9451
group_73214	,,group_73214
group_20014	,,group_20014
fdhD_2	,,fdhD_2
group_20015	,,group_20015
group_73216	,,group_73216
group_58935	,,group_58935
group_64215	,,group_64215
group_30838	,,group_30838
group_73210	,,group_73210
engB	PA14_72480,engB,engB
group_73211	,,group_73211
group_33957	,,group_33957
group_33956	,,group_33956
group_27989	,,group_27989
group_20019	,,group_20019
inaZ	,,inaZ
group_33952	,,group_33952
group_33951	,,group_33951
group_33950	,,group_33950
group_25162	,,group_25162
dapb1_2	,,dapb1_2
dapb1_3	,,dapb1_3
group_33959	,,group_33959
group_33958	,,group_33958
group_26446	,,group_26446
group_64932	,,group_64932
group_57256	,,group_57256
group_64213	,,group_64213
group_64934	,,group_64934
fis	PA14_64190,fis,fis
group_66835	,,group_66835
group_54331	,,group_54331
fiu	,,fiu
group_25169	,,group_25169
group_26885	,,group_26885
group_74079	,,group_74079
group_73219	,,group_73219
fic	PA14_07450,,fic
group_47768	,,group_47768
group_22135	,,group_22135
group_59453	,,group_59453
group_26883	,,group_26883
group_54318	,,group_54318
fim	,,fim
group_62821	,,group_62821
group_59451	,,group_59451
group_62820	,,group_62820
group_62823	,,group_62823
group_64518	,,group_64518
group_56304	,,group_56304
group_47762	,,group_47762
group_60879	,,group_60879
group_37012	,,group_37012
group_37013	,,group_37013
group_37010	,,group_37010
group_65571	,,group_65571
group_37016	,,group_37016
group_3118	PA14_29540,hplW,group_3118
group_37014	,,group_37014
group_37015	,,group_37015
group_37018	,,group_37018
group_3116	PA14_29070,,group_3116
group_3111	,,group_3111
group_3110	PA14_72300,,group_3110
group_3113	PA14_73030,,group_3113
group_20730	,,group_20730
group_31886	,,group_31886
group_31885	,,group_31885
group_31884	,,group_31884
group_26673	,,group_26673
group_31882	,,group_31882
group_31881	,,group_31881
group_31880	,,group_31880
group_73049	,,group_73049
group_73048	,,group_73048
group_2915	,,group_2915
group_73901	,,group_73901
group_31889	,,group_31889
group_31888	,,group_31888
group_70530	,,group_70530
group_68742	,,group_68742
group_70532	,,group_70532
group_70533	,,group_70533
group_70534	,,group_70534
group_39434	,,group_39434
group_70536	,,group_70536
group_62327	,,group_62327
group_70538	,,group_70538
group_70539	,,group_70539
group_39435	,,group_39435
group_68179	,,group_68179
group_68740	,,group_68740
group_57252	,,group_57252
group_55742	,,group_55742
group_62325	,,group_62325
group_47861	,,group_47861
group_68746	,,group_68746
group_73714	,,group_73714
group_47862	,,group_47862
group_34808	,,group_34808
group_68963	,,group_68963
group_8491	,,group_8491
group_8490	,,group_8490
group_46465	,,group_46465
group_8492	,,group_8492
group_8495	,,group_8495
group_8494	,,group_8494
group_46461	,,group_46461
group_8496	,,group_8496
group_63831	,,group_63831
group_8498	,,group_8498
group_63833	,,group_63833
group_54311	,,group_54311
group_63835	,,group_63835
group_52415	,,group_52415
group_63837	,,group_63837
group_47865	,,group_47865
group_20166	,,group_20166
group_52414	,,group_52414
yycJ_2	,,yycJ_2
group_47866	,,group_47866
group_70656	,,group_70656
group_52413	,,group_52413
group_47867	,,group_47867
group_54219	,,group_54219
group_22172	,,group_22172
guaB_2	PA14_40540,,guaB_2
guaB_3	,,guaB_3
namA_4	,,namA_4
guaB_1	PA14_15310,guaB,guaB_1
pglA_1	,,pglA_1
namA_3	,,namA_3
namA_1	,,namA_1
group_48197	,,group_48197
group_52775	,,group_52775
group_22170	,,group_22170
group_35954	,,group_35954
group_62328	,,group_62328
group_41087	,,group_41087
fecA_1	PA14_13430,fecA,fecA_1
group_58774	,,group_58774
group_18264	,,group_18264
group_48948	,,group_48948
group_58775	,,group_58775
group_48946	,,group_48946
group_48947	,,group_48947
group_48944	,,group_48944
fecA_3	,,fecA_3
group_48942	,,group_48942
group_48943	,,group_48943
group_48941	,,group_48941
group_2642	,,group_2642
group_5611	,,group_5611
group_5612	,,group_5612
group_2641	PA14_27200,,group_2641
group_2646	PA14_40080,,group_2646
group_2647	,,group_2647
group_2644	,,group_2644
group_2645	,,group_2645
group_5618	,,group_5618
group_5619	,,group_5619
group_2648	,,group_2648
group_2649	,,group_2649
group_58771	,,group_58771
group_4561	PA14_72760,,group_4561
group_4560	,,group_4560
group_4563	PA14_73000,,group_4563
group_4562	PA14_72770,,group_4562
group_45282	,,group_45282
group_45283	,,group_45283
group_45280	,,group_45280
group_45281	,,group_45281
group_4569	,,group_4569
group_24334	,,group_24334
group_45288	,,group_45288
group_45289	,,group_45289
group_38595	,,group_38595
group_44229	,,group_44229
group_20764	,,group_20764
group_44228	,,group_44228
group_61302	,,group_61302
group_28578	,,group_28578
group_58778	,,group_58778
group_58779	,,group_58779
group_36828	,,group_36828
group_2395	PA14_11110,cupB6,group_2395
group_2397	,,group_2397
group_2390	,,group_2390
group_2391	,,group_2391
group_42391	,,group_42391
group_42390	,,group_42390
group_36822	,,group_36822
group_36823	,,group_36823
group_42395	,,group_42395
group_36825	,,group_36825
group_36826	,,group_36826
group_42396	,,group_42396
group_71379	,,group_71379
group_61590	,,group_61590
group_20762	,,group_20762
group_56838	,,group_56838
group_71371	,,group_71371
tcyA	PA14_21840,,tcyA
group_71373	,,group_71373
tcyC	,,tcyC
group_71375	,,group_71375
group_71374	,,group_71374
group_71377	,,group_71377
group_71376	,,group_71376
group_30372	,,group_30372
group_28571	,,group_28571
group_30370	,,group_30370
group_30371	,,group_30371
group_30376	,,group_30376
group_30377	,,group_30377
group_30374	,,group_30374
group_30375	,,group_30375
tcyP	,,tcyP
group_53868	,,group_53868
group_30378	,,group_30378
group_30379	,,group_30379
group_63154	,,group_63154
group_28573	,,group_28573
group_61595	,,group_61595
group_33908	,,group_33908
group_28572	,,group_28572
group_28575	,,group_28575
group_65540	,,group_65540
group_56831	,,group_56831
group_47419	,,group_47419
group_47418	,,group_47418
group_56830	,,group_56830
group_47415	,,group_47415
group_47414	,,group_47414
group_47417	,,group_47417
group_28576	,,group_28576
group_47411	,,group_47411
group_47410	,,group_47410
group_47413	,,group_47413
group_47412	,,group_47412
group_41152	,,group_41152
group_41153	,,group_41153
group_41150	,,group_41150
group_41151	,,group_41151
group_41156	,,group_41156
group_41157	,,group_41157
group_41154	,,group_41154
group_13008	,,group_13008
group_13007	,,group_13007
group_13006	,,group_13006
group_13005	,,group_13005
group_13004	,,group_13004
group_13003	,,group_13003
hmuU_1	PA14_26360,btuC,hmuU_1
hmuU_2	PA14_62290,phuU,hmuU_2
hmuU_3	,,hmuU_3
group_49707	,,group_49707
group_49706	,,group_49706
group_49705	,,group_49705
group_49704	,,group_49704
group_49703	,,group_49703
group_49702	,,group_49702
group_49701	,,group_49701
group_49700	,,group_49700
group_63152	,,group_63152
group_56836	,,group_56836
group_49709	,,group_49709
group_49708	,,group_49708
group_40825	,,group_40825
group_40824	,,group_40824
group_40827	,,group_40827
group_40826	,,group_40826
group_40821	,,group_40821
group_40823	,,group_40823
group_71257	,,group_71257
group_57192	,,group_57192
group_40829	,,group_40829
group_40828	,,group_40828
vgb	,,vgb
group_72830	,,group_72830
group_42680	,,group_42680
group_67761	,,group_67761
group_45300	,,group_45300
group_38810	,,group_38810
group_57258	,,group_57258
group_69842	,,group_69842
bcsZ	,,bcsZ
group_72837	,,group_72837
yydJ	,,yydJ
group_653	,,group_653
group_3939	,,group_3939
group_3938	,,group_3938
group_3937	,,group_3937
group_3936	,,group_3936
group_3935	,,group_3935
group_3934	,,group_3934
group_3933	,,group_3933
group_3932	,,group_3932
group_3931	,,group_3931
group_3930	,,group_3930
group_42688	,,group_42688
group_30553	,,group_30553
group_22085	,,group_22085
group_36834	,,group_36834
group_63151	,,group_63151
group_48412	,,group_48412
group_30577	,,group_30577
group_34180	,,group_34180
group_31537	,,group_31537
group_18819	,,group_18819
group_34804	,,group_34804
group_41333	,,group_41333
phzG_2	,,phzG_2
phzG_3	PA14_09410,phzG1,phzG_3
group_30578	,,group_30578
phzG_1	PA14_39880,phzG2,phzG_1
phzG_4	,,phzG_4
phzG_5	,,phzG_5
group_3234	,,group_3234
group_48093	,,group_48093
group_43424	,,group_43424
group_10129	,,group_10129
group_43426	,,group_43426
group_43427	,,group_43427
group_34805	,,group_34805
yedK_4	,,yedK_4
group_51300	,,group_51300
group_54157	,,group_54157
dctA2	PA14_49130,dctA,dctA2
perB_1	,,perB_1
group_43428	,,group_43428
group_43429	,,group_43429
group_51308	,,group_51308
group_51309	,,group_51309
group_30579	,,group_30579
group_18811	,,group_18811
fecE	,,fecE
group_18810	,,group_18810
group_18813	,,group_18813
group_26521	,,group_26521
group_57199	,,group_57199
group_32778	,,group_32778
ldh	PA14_19870,ldh,ldh
group_16908	,,group_16908
group_18815	,,group_18815
group_13846	,,group_13846
group_54488	,,group_54488
group_54489	,,group_54489
group_18817	,,group_18817
group_54482	,,group_54482
group_54483	,,group_54483
group_54480	,,group_54480
group_54481	,,group_54481
group_54486	,,group_54486
group_57198	,,group_57198
group_54485	,,group_54485
group_45703	,,group_45703
group_45702	,,group_45702
group_45701	,,group_45701
group_45700	,,group_45700
group_45707	,,group_45707
group_45706	,,group_45706
group_45705	,,group_45705
group_45704	,,group_45704
group_18738	,,group_18738
group_45709	,,group_45709
group_45708	,,group_45708
group_18739	,,group_18739
group_43594	,,group_43594
group_16901	,,group_16901
group_32771	,,group_32771
group_48096	,,group_48096
group_32772	,,group_32772
actP_4	,,actP_4
actP_3	,,actP_3
actP_2	,,actP_2
actP_1	PA14_22350,actP,actP_1
group_45019	,,group_45019
group_16905	,,group_16905
group_16904	,,group_16904
group_51688	,,group_51688
group_32777	,,group_32777
group_7133	PA14_26350,,group_7133
group_33903	,,group_33903
group_7137	PA14_26650,,group_7137
group_7136	PA14_26640,,group_7136
group_7134	PA14_26540,,group_7134
group_55687	,,group_55687
group_52654	,,group_52654
group_52657	,,group_52657
group_52656	,,group_52656
group_52651	,,group_52651
group_55682	,,group_55682
group_55681	,,group_55681
group_52652	,,group_52652
group_72473	,,group_72473
group_52659	,,group_52659
group_16604	,,group_16604
group_55689	,,group_55689
group_55688	,,group_55688
group_40685	,,group_40685
group_16605	,,group_16605
group_63158	,,group_63158
group_40684	,,group_40684
group_16602	,,group_16602
group_43597	,,group_43597
group_64327	,,group_64327
group_40687	,,group_40687
group_16603	,,group_16603
group_59849	,,group_59849
group_59848	,,group_59848
group_30637	,,group_30637
group_42345	,,group_42345
group_59841	,,group_59841
group_40681	,,group_40681
group_59843	,,group_59843
group_59842	,,group_59842
group_59845	,,group_59845
group_59844	,,group_59844
group_59847	,,group_59847
group_40680	,,group_40680
group_55358	,,group_55358
group_28604	,,group_28604
group_40683	,,group_40683
group_48439	,,group_48439
group_55351	,,group_55351
group_55350	,,group_55350
group_55353	,,group_55353
group_55352	,,group_55352
group_55355	,,group_55355
group_55354	,,group_55354
group_63294	,,group_63294
group_30636	,,group_30636
group_42099	,,group_42099
group_52257	,,group_52257
group_10728	,,group_10728
group_10727	,,group_10727
group_10726	,,group_10726
group_10725	,,group_10725
group_10724	,,group_10724
group_10723	,,group_10723
group_10722	,,group_10722
group_10721	,,group_10721
group_10720	,,group_10720
group_29662	,,group_29662
loiP_2	,,loiP_2
group_29660	,,group_29660
group_50492	,,group_50492
group_50495	,,group_50495
group_29667	,,group_29667
group_11098	,,group_11098
group_11099	,,group_11099
group_11096	,,group_11096
group_11097	,,group_11097
group_29668	,,group_29668
group_11095	,,group_11095
group_11092	,,group_11092
group_11093	,,group_11093
group_11090	,,group_11090
group_11091	,,group_11091
group_26906	,,group_26906
group_26907	,,group_26907
group_26904	,,group_26904
group_26905	,,group_26905
group_26902	,,group_26902
lysP_2	,,lysP_2
group_26900	,,group_26900
group_26901	,,group_26901
mucB	PA14_54410,mucB,mucB
mucA	PA14_54420,mucA,mucA
group_56382	,,group_56382
group_42090	,,group_42090
group_26908	,,group_26908
group_26909	,,group_26909
frc	,,frc
group_42091	,,group_42091
fre	,,fre
group_42096	,,group_42096
group_63296	,,group_63296
group_30634	,,group_30634
group_70746	,,group_70746
frr	PA14_17100,frr,frr
group_3258	,,group_3258
group_3259	,,group_3259
group_42094	,,group_42094
group_3252	,,group_3252
group_3253	,,group_3253
group_3250	,,group_3250
group_42095	,,group_42095
group_3256	,,group_3256
group_3257	,,group_3257
group_3254	PA14_59950,,group_3254
group_3255	,,group_3255
group_16376	,,group_16376
group_16377	,,group_16377
group_16374	,,group_16374
group_75112	,,group_75112
group_16372	,,group_16372
group_16373	,,group_16373
group_75117	,,group_75117
group_75116	,,group_75116
group_75119	,,group_75119
group_75118	,,group_75118
group_67744	,,group_67744
group_16378	,,group_16378
group_16379	,,group_16379
group_23998	,,group_23998
group_23999	,,group_23999
group_23996	,,group_23996
group_23997	,,group_23997
group_23994	,,group_23994
group_23995	,,group_23995
group_23992	,,group_23992
group_23993	,,group_23993
group_23990	,,group_23990
group_23991	,,group_23991
group_23956	,,group_23956
davT	PA14_03450,gabT,davT
group_26523	,,group_26523
group_48172	,,group_48172
hepC	PA14_23430,,hepC
davD	PA14_03430,gabD,davD
group_53219	,,group_53219
group_57094	,,group_57094
ilvI_2	,,ilvI_2
group_53214	,,group_53214
group_53215	,,group_53215
group_53212	,,group_53212
group_53213	,,group_53213
group_23957	,,group_23957
group_53211	,,group_53211
group_38343	,,group_38343
group_38342	,,group_38342
group_38341	,,group_38341
group_38340	,,group_38340
group_38346	,,group_38346
group_38345	,,group_38345
group_38344	,,group_38344
group_73713	,,group_73713
group_38349	,,group_38349
group_38348	,,group_38348
group_58268	,,group_58268
group_24699	,,group_24699
group_24412	,,group_24412
group_54973	,,group_54973
group_54970	,,group_54970
group_54971	,,group_54971
group_54976	,,group_54976
group_54977	,,group_54977
group_54974	,,group_54974
group_54975	,,group_54975
group_60614	,,group_60614
group_60615	,,group_60615
group_54978	,,group_54978
group_60617	,,group_60617
group_60610	,,group_60610
group_60611	,,group_60611
group_60612	,,group_60612
group_60613	,,group_60613
group_68441	,,group_68441
group_68440	,,group_68440
group_68443	,,group_68443
group_68442	,,group_68442
group_68445	,,group_68445
group_68444	,,group_68444
group_68447	,,group_68447
group_68446	,,group_68446
group_68449	,,group_68449
ufaA1	,,ufaA1
group_23955	,,group_23955
group_38695	,,group_38695
group_38694	,,group_38694
group_38697	,,group_38697
group_38696	,,group_38696
group_38691	,,group_38691
group_38690	,,group_38690
group_38693	,,group_38693
group_38692	,,group_38692
group_38698	,,group_38698
group_17025	,,group_17025
group_17024	,,group_17024
group_17027	,,group_17027
ycjP_2	,,ycjP_2
group_17021	,,group_17021
group_17020	,,group_17020
group_17023	,,group_17023
group_17022	,,group_17022
stp_3	,,stp_3
stp_2	PA14_47230,,stp_2
stp_1	PA14_47900,,stp_1
mgtB_2	,,mgtB_2
group_57443	,,group_57443
group_17028	,,group_17028
group_12019	,,group_12019
group_57440	,,group_57440
group_74087	,,group_74087
group_72638	,,group_72638
group_72471	,,group_72471
group_74080	,,group_74080
asnB_3	,,asnB_3
asnB_2	,,asnB_2
group_58386	,,group_58386
pstA2	,,pstA2
asnB_5	,,asnB_5
asnB_4	,,asnB_4
group_74466	,,group_74466
group_45112	,,group_45112
group_48171	,,group_48171
group_65672	,,group_65672
group_31508	,,group_31508
group_75578	,,group_75578
group_27926	,,group_27926
group_58389	,,group_58389
group_31509	,,group_31509
group_45113	,,group_45113
group_27924	,,group_27924
group_22717	,,group_22717
group_66510	,,group_66510
group_55849	,,group_55849
group_22714	,,group_22714
group_22713	,,group_22713
group_22712	,,group_22712
group_22711	,,group_22711
group_66516	,,group_66516
group_66519	,,group_66519
group_66518	,,group_66518
group_64280	,,group_64280
group_57092	,,group_57092
group_51159	,,group_51159
group_22719	,,group_22719
group_22718	,,group_22718
group_31502	,,group_31502
group_51158	,,group_51158
group_20168	,,group_20168
group_31503	,,group_31503
smvA	,,smvA
group_31500	,,group_31500
spuE_1	PA14_29090,potF4,spuE_1
spuE_2	,,spuE_2
spuE_3	PA14_03930,spuE,spuE_3
spuE_4	PA14_04220,,spuE_4
spuE_5	,,spuE_5
spuE_6	,,spuE_6
group_43793	,,group_43793
group_31506	,,group_31506
group_57093	,,group_57093
group_31507	,,group_31507
group_39564	,,group_39564
group_39565	,,group_39565
group_74465	,,group_74465
estA_1	,,estA_1
gadX	PA14_04000,,gadX
group_39561	,,group_39561
group_39562	,,group_39562
group_39563	,,group_39563
group_31505	,,group_31505
group_39568	,,group_39568
group_51151	,,group_51151
group_1492	,,group_1492
group_1493	,,group_1493
group_1490	,,group_1490
group_1491	,,group_1491
group_1496	,,group_1496
group_1497	,,group_1497
group_20418	,,group_20418
group_1495	,,group_1495
group_20416	,,group_20416
group_20417	,,group_20417
group_20414	,,group_20414
group_20415	,,group_20415
group_20412	,,group_20412
group_20413	,,group_20413
group_20410	,,group_20410
group_20411	,,group_20411
group_27291	,,group_27291
group_27290	,,group_27290
group_27293	,,group_27293
group_27292	,,group_27292
group_27295	,,group_27295
group_27294	,,group_27294
group_27297	,,group_27297
group_27296	,,group_27296
group_27299	,,group_27299
group_27298	,,group_27298
group_51154	,,group_51154
group_43798	,,group_43798
group_63394	,,group_63394
group_7982	PA14_33380,,group_7982
group_43799	,,group_43799
group_24348	,,group_24348
group_62895	,,group_62895
group_24349	,,group_24349
rpoC_2	,,rpoC_2
group_70374	,,group_70374
group_54226	,,group_54226
group_62897	,,group_62897
group_12290	,,group_12290
fruB	,,fruB
fruA	PA14_18275,fruA,fruA
group_48170	,,group_48170
group_54224	,,group_54224
group_63395	,,group_63395
group_62891	,,group_62891
group_39249	,,group_39249
group_16811	,,group_16811
group_54225	,,group_54225
group_16817	,,group_16817
group_16816	,,group_16816
group_16815	,,group_16815
group_16814	,,group_16814
group_12295	,,group_12295
group_16819	,,group_16819
group_16818	,,group_16818
group_69847	,,group_69847
group_60245	,,group_60245
group_54223	,,group_54223
group_37162	,,group_37162
group_12297	,,group_12297
group_60243	,,group_60243
group_54221	,,group_54221
group_63396	,,group_63396
group_7988	PA14_33590,,group_7988
group_67290	,,group_67290
group_20010	,,group_20010
adeQ	,,adeQ
acoA	PA14_10260,acoA,acoA
group_35696	,,group_35696
acoC	PA14_10240,acoC,acoC
acoB	PA14_10250,acoB,acoB
acoD	,,acoD
group_35697	,,group_35697
group_39241	,,group_39241
group_35694	,,group_35694
group_66408	,,group_66408
group_21821	,,group_21821
group_63397	,,group_63397
group_35695	,,group_35695
group_39243	,,group_39243
group_32554	,,group_32554
group_32555	,,group_32555
group_32556	,,group_32556
group_32557	,,group_32557
group_32550	,,group_32550
group_32551	,,group_32551
group_32552	,,group_32552
group_32553	,,group_32553
group_27875	,,group_27875
group_39245	,,group_39245
group_27877	,,group_27877
group_27876	,,group_27876
group_32558	,,group_32558
group_32559	,,group_32559
group_27873	,,group_27873
group_67298	,,group_67298
group_41786	,,group_41786
group_23149	,,group_23149
group_39247	,,group_39247
group_61989	,,group_61989
group_61988	,,group_61988
group_61987	,,group_61987
group_23144	,,group_23144
group_61985	,,group_61985
group_60248	,,group_60248
atzE	PA14_10040,,atzE
group_23140	,,group_23140
group_23143	,,group_23143
atzF	,,atzF
nrdR_2	,,nrdR_2
group_35788	,,group_35788
group_65329	,,group_65329
tamB	PA14_31690,,tamB
group_35785	,,group_35785
group_35786	,,group_35786
tamA	PA14_31680,,tamA
group_35780	,,group_35780
group_35781	,,group_35781
group_35782	,,group_35782
group_35783	,,group_35783
group_37311	,,group_37311
group_37310	,,group_37310
group_37313	,,group_37313
group_37312	,,group_37312
group_37315	,,group_37315
group_37314	,,group_37314
group_37317	,,group_37317
group_37316	,,group_37316
group_37319	,,group_37319
group_37318	,,group_37318
group_37205	,,group_37205
group_21439	,,group_21439
group_21438	,,group_21438
group_37204	,,group_37204
group_42482	,,group_42482
group_47661	,,group_47661
group_60948	,,group_60948
group_10883	,,group_10883
hbpA_2	,,hbpA_2
group_37201	,,group_37201
group_65586	,,group_65586
ugpA_2	,,ugpA_2
group_37200	,,group_37200
group_35019	,,group_35019
group_69844	,,group_69844
group_41856	,,group_41856
group_65583	,,group_65583
group_41855	,,group_41855
group_46707	,,group_46707
group_46704	,,group_46704
group_41854	,,group_41854
group_46702	,,group_46702
group_46703	,,group_46703
group_61288	,,group_61288
group_46701	,,group_46701
group_51222	,,group_51222
group_46709	,,group_46709
group_33209	,,group_33209
group_33208	,,group_33208
