@test|NC_008463|6537648
@Strain	Refseq_Accession	Replicon	Locus_Tag	Feature_Type	Start	Stop	Strand	Gene_Name
test	NC_008463	Chromosome	PA14_00780	gene	75734	76276	-	
test	NC_008463	Chromosome	PA14_00790	gene	76354	78399	+	prlC
test	NC_008463	Chromosome	PA14_00800	gene	78396	78671	+	
test	NC_008463	Chromosome	PA14_00810	gene	78760	79818	+	
test	NC_008463	Chromosome	PA14_00820	gene	80049	80963	-	
test	NC_008463	Chromosome	PA14_00830	gene	81025	82737	-	
test	NC_008463	Chromosome	PA14_00850	gene	82730	83929	-	
test	NC_008463	Chromosome	PA14_00860	gene	83929	84648	-	
test	NC_008463	Chromosome	PA14_00875	gene	84645	87743	-	ppkA
test	NC_008463	Chromosome	PA14_00890	gene	87751	88479	-	
test	NC_008463	Chromosome	PA14_00900	gene	88489	89169	-	
test	NC_008463	Chromosome	PA14_00910	gene	89166	92474	-	
test	NC_008463	Chromosome	PA14_00925	gene	92696	94045	-	
test	NC_008463	Chromosome	PA14_00940	gene	94052	95386	-	
test	NC_008463	Chromosome	PA14_00960	gene	95402	95866	-	
test	NC_008463	Chromosome	PA14_00970	gene	95911	96453	-	
test	NC_008463	Chromosome	PA14_00980	gene	96450	97409	-	
test	NC_008463	Chromosome	PA14_00990	gene	97777	98811	+	
test	NC_008463	Chromosome	PA14_01010	gene	98900	99418	+	
test	NC_008463	Chromosome	PA14_01020	gene	99431	100927	+	
test	NC_008463	Chromosome	PA14_01030	gene	101003	101491	+	
test	NC_008463	Chromosome	PA14_01040	gene	101659	102504	+	
test	NC_008463	Chromosome	PA14_01060	gene	102506	103015	+	
test	NC_008463	Chromosome	PA14_01070	gene	103012	104871	+	
test	NC_008463	Chromosome	PA14_01080	gene	104835	105881	+	
test	NC_008463	Chromosome	PA14_01100	gene	105874	108582	+	clpB
test	NC_008463	Chromosome	PA14_01110	gene	108629	110560	+	
test	NC_008463	Chromosome	PA14_01120	gene	110675	110959	-	
test	NC_008463	Chromosome	PA14_01130	gene	110972	111205	-	
test	NC_008463	Chromosome	PA14_01140	gene	111195	112514	-	
test	NC_008463	Chromosome	PA14_01150	gene	112593	113027	-	
test	NC_008463	Chromosome	PA14_01160	gene	113281	115506	+	
test	NC_008463	Chromosome	PA14_01170	gene	115534	115983	+	
test	NC_008463	Chromosome	PA14_01180	gene	115913	117112	+	
test	NC_008463	Chromosome	PA14_01190	gene	117109	118146	+	
test	NC_008463	Chromosome	PA14_01200	gene	118146	119237	+	
test	NC_008463	Chromosome	PA14_01220	gene	119248	120168	+	
test	NC_008463	Chromosome	PA14_01230	gene	120178	121410	+	
test	NC_008463	Chromosome	PA14_01240	gene	121786	122514	+	
test	NC_008463	Chromosome	PA14_01250	gene	122725	124296	+	ychM
test	NC_008463	Chromosome	PA14_01270	gene	124433	125029	+	
test	NC_008463	Chromosome	PA14_01290	gene	125293	126417	+	coxB
test	NC_008463	Chromosome	PA14_01300	gene	126427	128019	+	coxA
test	NC_008463	Chromosome	PA14_01310	gene	128030	128584	+	coxG
test	NC_008463	Chromosome	PA14_01320	gene	128595	129482	+	coIII
test	NC_008463	Chromosome	PA14_01330	gene	129498	129707	-	
test	NC_008463	Chromosome	PA14_01340	gene	129723	130517	+	
test	NC_008463	Chromosome	PA14_01350	gene	130492	131070	+	
test	NC_008463	Chromosome	PA14_01360	gene	131135	132208	+	ctaA
test	NC_008463	Chromosome	PA14_01380	gene	132234	133148	+	ctaB
test	NC_008463	Chromosome	PA14_01390	gene	133174	133809	+	
test	NC_008463	Chromosome	PA14_01400	gene	133849	134301	-	elaA
test	NC_008463	Chromosome	PA14_01410	gene	134433	134906	+	
test	NC_008463	Chromosome	PA14_01430	gene	135162	135890	+	
test	NC_008463	Chromosome	PA14_01440	gene	135915	136502	+	
test	NC_008463	Chromosome	PA14_01460	gene	136732	138081	+	dctA
test	NC_008463	Chromosome	PA14_01470	gene	138130	138816	+	
test	NC_008463	Chromosome	PA14_01480	gene	138917	139651	+	
test	NC_008463	Chromosome	PA14_01490	gene	139831	140241	+	
test	NC_008463	Chromosome	PA14_01500	gene	140273	141181	-	
test	NC_008463	Chromosome	PA14_01510	gene	141481	141762	-	
test	NC_008463	Chromosome	PA14_01520	gene	141759	141986	-	
test	NC_008463	Chromosome	PA14_01540	gene	142162	142785	-	
test	NC_008463	Chromosome	PA14_01550	gene	142886	143386	+	
test	NC_008463	Chromosome	PA14_01560	gene	143458	143799	+	phnA
test	NC_008463	Chromosome	PA14_01580	gene	143881	145308	-	gabP
test	NC_008463	Chromosome	PA14_01600	gene	145477	146970	-	mmsA
test	NC_008463	Chromosome	PA14_01610	gene	147054	147341	-	
test	NC_008463	Chromosome	PA14_01620	gene	147341	148687	-	aptA
test	NC_008463	Chromosome	PA14_01640	gene	148823	149740	+	
test	NC_008463	Chromosome	PA14_01660	gene	149853	151223	-	guaD
test	NC_008463	Chromosome	PA14_01670	gene	152381	153952	+	
test	NC_008463	Chromosome	PA14_01680	gene	153952	155049	+	
test	NC_008463	Chromosome	PA14_01690	gene	155072	156052	+	
test	NC_008463	Chromosome	PA14_01710	gene	156164	156727	+	ahpC
test	NC_008463	Chromosome	PA14_01720	gene	156872	158437	+	ahpF
test	NC_008463	Chromosome	PA14_01730	gene	158517	159413	-	
test	NC_008463	Chromosome	PA14_01750	gene	159868	161217	+	
test	NC_008463	Chromosome	PA14_01760	gene	161387	162376	+	nuh
test	NC_008463	Chromosome	PA14_01770	gene	162413	163261	-	
test	NC_008463	Chromosome	PA14_01780	gene	163296	163922	-	
test	NC_008463	Chromosome	PA14_01790	gene	164072	164590	-	
test	NC_008463	Chromosome	PA14_01800	gene	164828	165925	+	
test	NC_008463	Chromosome	PA14_01810	gene	165998	166960	+	
test	NC_008463	Chromosome	PA14_01830	gene	167065	168015	+	add
test	NC_008463	Chromosome	PA14_01840	gene	168212	168757	+	
test	NC_008463	Chromosome	PA14_01860	gene	168754	169749	+	
test	NC_008463	Chromosome	PA14_01870	gene	169897	172284	+	
test	NC_008463	Chromosome	PA14_01890	gene	172662	173489	+	pcaQ
test	NC_008463	Chromosome	PA14_01900	gene	173624	174343	+	pcaH
test	NC_008463	Chromosome	PA14_01910	gene	174354	174959	+	pcaG
test	NC_008463	Chromosome	PA14_01930	gene	175175	176014	+	pcaR
test	NC_008463	Chromosome	PA14_01940	gene	176167	177318	+	
test	NC_008463	Chromosome	PA14_01960	gene	177315	178385	+	
test	NC_008463	Chromosome	PA14_01970	gene	178382	181429	+	
test	NC_008463	Chromosome	PA14_01980	gene	181628	182566	+	
test	NC_008463	Chromosome	PA14_01990	gene	182682	182867	+	
test	NC_008463	Chromosome	PA14_02010	gene	183147	183299	+	
test	NC_008463	Chromosome	PA14_02020	gene	183454	184788	+	
test	NC_008463	Chromosome	PA14_02030	gene	184817	185614	-	
test	NC_008463	Chromosome	PA14_02050	gene	185692	187308	+	
test	NC_008463	Chromosome	PA14_02060	gene	187980	188816	+	
test	NC_008463	Chromosome	PA14_02070	gene	189058	190464	+	
test	NC_008463	Chromosome	PA14_02090	gene	190557	191222	+	
test	NC_008463	Chromosome	PA14_02100	gene	191228	191818	+	
test	NC_008463	Chromosome	PA14_02110	gene	191825	192532	-	
test	NC_008463	Chromosome	PA14_02130	gene	192659	193039	-	
test	NC_008463	Chromosome	PA14_02140	gene	193066	193608	-	
test	NC_008463	Chromosome	PA14_02150	gene	193617	195608	-	
test	NC_008463	Chromosome	PA14_02180	gene	195871	196920	-	cheB
test	NC_008463	Chromosome	PA14_02190	gene	196940	197542	-	cheD
test	NC_008463	Chromosome	PA14_02200	gene	197548	198390	-	cheR
test	NC_008463	Chromosome	PA14_02220	gene	198460	200499	-	
test	NC_008463	Chromosome	PA14_02230	gene	200535	201020	-	cheW
test	NC_008463	Chromosome	PA14_02250	gene	201007	202926	-	cheA
test	NC_008463	Chromosome	PA14_02260	gene	202954	203319	-	cheY
test	NC_008463	Chromosome	PA14_02270	gene	203517	204689	-	
test	NC_008463	Chromosome	PA14_02290	gene	204880	205815	-	
test	NC_008463	Chromosome	PA14_02300	gene	205932	206684	+	fabG
test	NC_008463	Chromosome	PA14_02310	gene	206784	208394	-	atsA
test	NC_008463	Chromosome	PA14_02330	gene	208482	209321	-	atsC
test	NC_008463	Chromosome	PA14_02340	gene	209318	210934	-	atsB
test	NC_008463	Chromosome	PA14_02360	gene	211201	212262	+	atsR
test	NC_008463	Chromosome	PA14_02370	gene	212285	213643	-	
test	NC_008463	Chromosome	PA14_02380	gene	213891	214616	+	
test	NC_008463	Chromosome	PA14_02390	gene	214640	215557	-	
test	NC_008463	Chromosome	PA14_02410	gene	215908	218280	+	
test	NC_008463	Chromosome	PA14_02420	gene	218321	219223	+	atsK
test	NC_008463	Chromosome	PA14_02435	gene	219291	220190	+	
test	NC_008463	Chromosome	PA14_02450	gene	220837	221955	+	
test	NC_008463	Chromosome	PA14_02460	gene	222031	222339	+	
test	NC_008463	Chromosome	PA14_02470	gene	222339	223775	+	pntB
test	NC_008463	Chromosome	PA14_02490	gene	224119	224931	+	tonB2
test	NC_008463	Chromosome	PA14_02500	gene	224960	225679	+	exbB1
test	NC_008463	Chromosome	PA14_02510	gene	225681	226082	+	exbD1
test	NC_008463	Chromosome	PA14_02520	gene	226263	226475	-	
test	NC_008463	Chromosome	PA14_02530	gene	226691	227272	+	
test	NC_008463	Chromosome	PA14_02550	gene	227383	229047	+	mdcA
test	NC_008463	Chromosome	PA14_02560	gene	229047	229928	+	mdcB
test	NC_008463	Chromosome	PA14_02570	gene	229930	230229	+	mdcC
test	NC_008463	Chromosome	PA14_02580	gene	230222	231085	+	mdcD
test	NC_008463	Chromosome	PA14_02590	gene	231082	231888	+	mdcE
test	NC_008463	Chromosome	PA14_02610	gene	231904	232596	+	mdcG
test	NC_008463	Chromosome	PA14_02620	gene	232593	233525	+	mdcH
test	NC_008463	Chromosome	PA14_02630	gene	233582	233986	+	mdcL
test	NC_008463	Chromosome	PA14_02640	gene	233992	234756	+	mcdM
test	NC_008463	Chromosome	PA14_02650	gene	234841	235770	-	
test	NC_008463	Chromosome	PA14_02660	gene	236099	237019	-	
test	NC_008463	Chromosome	PA14_02680	gene	237370	238860	+	aldH
test	NC_008463	Chromosome	PA14_02690	gene	238918	240351	+	
test	NC_008463	Chromosome	PA14_02700	gene	240382	241764	+	
test	NC_008463	Chromosome	PA14_02720	gene	241928	242986	+	
test	NC_008463	Chromosome	PA14_02730	gene	243064	243945	-	
test	NC_008463	Chromosome	PA14_02740	gene	244005	244787	-	
test	NC_008463	Chromosome	PA14_02750	gene	244942	245481	+	
test	NC_008463	Chromosome	PA14_02760	gene	245632	246483	+	catI
test	NC_008463	Chromosome	PA14_02770	gene	246480	247262	+	pcaJ
test	NC_008463	Chromosome	PA14_02790	gene	247259	248464	+	pcaF
test	NC_008463	Chromosome	PA14_02810	gene	248614	249912	+	pcaT
test	NC_008463	Chromosome	PA14_02830	gene	249935	251314	+	pcaB
test	NC_008463	Chromosome	PA14_02840	gene	251329	252120	+	pcaD
test	NC_008463	Chromosome	PA14_02850	gene	252131	252532	+	pcaC
test	NC_008463	Chromosome	PA14_02870	gene	252660	253601	+	
test	NC_008463	Chromosome	PA14_02890	gene	253792	254625	+	
test	NC_008463	Chromosome	PA14_02900	gene	254764	256110	-	pcaK
test	NC_008463	Chromosome	PA14_02910	gene	256416	257195	+	
test	NC_008463	Chromosome	PA14_02930	gene	257439	258482	+	
test	NC_008463	Chromosome	PA14_02960	gene	258505	259320	+	
test	NC_008463	Chromosome	PA14_02970	gene	259470	260348	+	
test	NC_008463	Chromosome	PA14_02980	gene	260374	261639	-	
test	NC_008463	Chromosome	PA14_02990	gene	261705	263030	-	
test	NC_008463	Chromosome	PA14_03000	gene	263577	265481	+	
test	NC_008463	Chromosome	PA14_03010	gene	265574	266242	+	
test	NC_008463	Chromosome	PA14_03020	gene	266282	267136	-	aroE
test	NC_008463	Chromosome	PA14_03030	gene	267133	267579	-	aroQ2
test	NC_008463	Chromosome	PA14_03040	gene	267696	269201	-	
test	NC_008463	Chromosome	PA14_03050	gene	269376	270560	-	pobA
test	NC_008463	Chromosome	PA14_03070	gene	270738	271604	+	pobR
test	NC_008463	Chromosome	PA14_03080	gene	271601	272047	-	
test	NC_008463	Chromosome	PA14_03090	gene	272125	272559	-	
test	NC_008463	Chromosome	PA14_03100	gene	272724	273365	-	
test	NC_008463	Chromosome	PA14_03110	gene	273633	273920	-	
test	NC_008463	Chromosome	PA14_03120	gene	274012	274488	-	
test	NC_008463	Chromosome	PA14_03130	gene	274529	276019	-	
test	NC_008463	Chromosome	PA14_03150	gene	276153	276839	-	
test	NC_008463	Chromosome	PA14_03160	gene	277003	277935	-	
test	NC_008463	Chromosome	PA14_03163	gene	278510	279133	+	
test	NC_008463	Chromosome	PA14_03166	gene	279133	279531	+	
test	NC_008463	Chromosome	PA14_03170	gene	279718	280557	-	
test	NC_008463	Chromosome	PA14_03180	gene	280590	280853	-	
test	NC_008463	Chromosome	PA14_03190	gene	280973	282415	-	
test	NC_008463	Chromosome	PA14_03200	gene	282565	284715	-	
test	NC_008463	Chromosome	PA14_03210	gene	284712	285209	-	
test	NC_008463	Chromosome	PA14_03220	gene	285213	288272	-	
test	NC_008463	Chromosome	PA14_03240	gene	288454	288972	-	hcpC
test	NC_008463	Chromosome	PA0263.1	gene	290228	290259	-	
test	NC_008463	Chromosome	PA14_03250	gene	291568	293184	+	
test	NC_008463	Chromosome	PA14_03265	gene	293187	293936	+	
test	NC_008463	Chromosome	PA14_03270	gene	294101	297238	+	
test	NC_008463	Chromosome	PA14_03285	gene	297222	298367	+	
test	NC_008463	Chromosome	PA14_03290	gene	298567	298875	+	
test	NC_008463	Chromosome	PA14_03300	gene	298872	299717	+	
test	NC_008463	Chromosome	PA14_03310	gene	300333	301931	+	
test	NC_008463	Chromosome	PA14_03320	gene	302683	303804	-	
test	NC_008463	Chromosome	PA14_03330	gene	303810	304676	-	
test	NC_008463	Chromosome	PA14_03340	gene	304673	305599	-	
test	NC_008463	Chromosome	PA14_03350	gene	305950	306903	-	
test	NC_008463	Chromosome	PA14_03360	gene	306896	307666	-	
test	NC_008463	Chromosome	PA14_03370	gene	307985	308983	-	
test	NC_008463	Chromosome	PA14_03380	gene	309749	311728	+	
test	NC_008463	Chromosome	PA14_03390	gene	311665	312174	-	
test	NC_008463	Chromosome	PA14_03400	gene	312167	312499	-	
test	NC_008463	Chromosome	PA14_03410	gene	312961	313034	-	
test	NC_008463	Chromosome	PA14_03420	gene	313222	313638	-	
test	NC_008463	Chromosome	PA14_03430	gene	313663	315114	+	gabD
test	NC_008463	Chromosome	PA14_03450	gene	315359	316639	+	gabT
test	NC_008463	Chromosome	PA14_03470	gene	316965	318164	+	
test	NC_008463	Chromosome	PA14_03480	gene	318332	319753	-	
test	NC_008463	Chromosome	PA14_03490	gene	319880	320317	+	
test	NC_008463	Chromosome	PA14_03510	gene	320329	320736	+	
test	NC_008463	Chromosome	PA14_03520	gene	320770	321054	+	
test	NC_008463	Chromosome	PA14_03530	gene	321051	321983	-	
test	NC_008463	Chromosome	PA14_03550	gene	322033	323247	-	cynX
test	NC_008463	Chromosome	PA14_03560	gene	323410	324180	-	
test	NC_008463	Chromosome	PA14_03580	gene	324289	324975	-	
test	NC_008463	Chromosome	PA14_03590	gene	325051	325566	+	
test	NC_008463	Chromosome	PA14_03610	gene	325606	326364	-	ycaL
test	NC_008463	Chromosome	PA14_03620	gene	326536	327288	-	
test	NC_008463	Chromosome	PA14_03630	gene	327382	328080	+	
test	NC_008463	Chromosome	PA14_03650	gene	328093	329082	-	cysA
test	NC_008463	Chromosome	PA14_03670	gene	329086	329955	-	cysW
test	NC_008463	Chromosome	PA14_03680	gene	329966	330784	-	cysT
test	NC_008463	Chromosome	PA14_03700	gene	330946	331944	-	sbp
test	NC_008463	Chromosome	PA14_03710	gene	332121	332303	-	
test	NC_008463	Chromosome	PA14_03720	gene	332467	334749	-	
test	NC_008463	Chromosome	PA14_03730	gene	334920	336098	+	
test	NC_008463	Chromosome	PA14_03760	gene	336327	337712	+	
test	NC_008463	Chromosome	PA14_03770	gene	337768	338724	+	speB1
test	NC_008463	Chromosome	PA14_03780	gene	338777	339739	+	
test	NC_008463	Chromosome	PA14_03790	gene	339852	340823	+	
test	NC_008463	Chromosome	PA14_03800	gene	341437	342828	+	oprE
test	NC_008463	Chromosome	PA14_03810	gene	342926	344032	-	aguA
test	NC_008463	Chromosome	PA14_03830	gene	344118	344996	-	aguB
test	NC_008463	Chromosome	PA14_03840	gene	345159	345824	-	aguR
test	NC_008463	Chromosome	PA14_03855	gene	345887	346948	-	
test	NC_008463	Chromosome	PA14_03860	gene	347204	348580	-	
test	NC_008463	Chromosome	PA0296-PA0297	gene	348675	348854	-	
test	NC_008463	Chromosome	PA14_03870	gene	348859	349611	+	spuA
test	NC_008463	Chromosome	PA14_03880	gene	349652	351010	+	spuB
test	NC_008463	Chromosome	PA14_03900	gene	351076	352446	+	spuC
test	NC_008463	Chromosome	PA14_03920	gene	352562	353665	+	spuD
test	NC_008463	Chromosome	PA14_03930	gene	354084	355181	+	spuE
test	NC_008463	Chromosome	PA14_03940	gene	355236	356390	+	spuF
test	NC_008463	Chromosome	PA14_03950	gene	356417	357298	+	spuG
test	NC_008463	Chromosome	PA14_03960	gene	357381	358250	+	spuH
test	NC_008463	Chromosome	PA14_03980	gene	358448	360835	-	
test	NC_008463	Chromosome	PA14_04000	gene	360946	361998	+	
test	NC_008463	Chromosome	PA14_04010	gene	361977	362480	-	
test	NC_008463	Chromosome	PA14_04030	gene	363195	364214	+	
test	NC_008463	Chromosome	PA14_04020	gene	362585	363196	-	
test	NC_008463	Chromosome	PA14_04040	gene	364234	364986	-	
test	NC_008463	Chromosome	PA14_04050	gene	365035	365733	+	
test	NC_008463	Chromosome	PA14_04060	gene	365755	366309	-	
test	NC_008463	Chromosome	PA14_04070	gene	366575	367069	+	
test	NC_008463	Chromosome	PA14_04080	gene	367074	367766	-	yecS
test	NC_008463	Chromosome	PA14_04090	gene	367838	368608	-	fliY
test	NC_008463	Chromosome	PA14_04100	gene	368901	369338	+	
test	NC_008463	Chromosome	PA14_04110	gene	369396	370625	-	serA
test	NC_008463	Chromosome	PA14_04140	gene	370829	372223	+	
test	NC_008463	Chromosome	PA14_04150	gene	372315	372980	+	ycgM
test	NC_008463	Chromosome	PA14_04160	gene	373079	374068	+	
test	NC_008463	Chromosome	PA14_04180	gene	374152	374502	+	
test	NC_008463	Chromosome	PA14_04190	gene	374583	375617	-	aphA
test	NC_008463	Chromosome	PA14_04210	gene	375633	377027	-	
test	NC_008463	Chromosome	PA14_04220	gene	377448	378491	-	
test	NC_008463	Chromosome	PA14_04230	gene	378539	379327	-	
test	NC_008463	Chromosome	PA14_04240	gene	379324	380253	-	
test	NC_008463	Chromosome	PA14_04250	gene	380250	381299	-	
test	NC_008463	Chromosome	PA14_04270	gene	381627	382592	+	
test	NC_008463	Chromosome	PA14_04290	gene	382631	384574	-	
test	NC_008463	Chromosome	PA14_04300	gene	384875	385207	-	
test	NC_008463	Chromosome	PA14_04310	gene	385330	386001	-	rpiA
test	NC_008463	Chromosome	PA14_04320	gene	386260	387774	+	ilvA1
test	NC_008463	Chromosome	PA14_04330	gene	387894	388361	+	
test	NC_008463	Chromosome	PA14_04340	gene	388412	389683	+	
test	NC_008463	Chromosome	PA14_04350	gene	389680	390147	+	
test	NC_008463	Chromosome	PA14_04370	gene	390120	391361	-	
test	NC_008463	Chromosome	PA14_04380	gene	391411	392064	-	
test	NC_008463	Chromosome	PA14_04390	gene	392268	392747	+	ygdP
test	NC_008463	Chromosome	PA14_04410	gene	392770	395049	+	ptsP
test	NC_008463	Chromosome	PA14_04420	gene	395075	396205	+	
test	NC_008463	Chromosome	PA14_04430	gene	396209	396964	-	
test	NC_008463	Chromosome	PA14_04440	gene	397086	397889	+	
test	NC_008463	Chromosome	PA14_04460	gene	397899	398699	+	lgt
test	NC_008463	Chromosome	PA14_04480	gene	398905	399699	+	thyA
test	NC_008463	Chromosome	PA14_04490	gene	399726	400523	-	
test	NC_008463	Chromosome	PA14_04510	gene	400558	401937	-	
test	NC_008463	Chromosome	PA14_04520	gene	401930	403315	-	
test	NC_008463	Chromosome	PA14_04530	gene	403507	403869	+	
test	NC_008463	Chromosome	PA14_04550	gene	403906	405057	-	glpQ
test	NC_008463	Chromosome	PA14_04560	gene	405267	406361	+	
test	NC_008463	Chromosome	PA14_04570	gene	406358	407398	+	
test	NC_008463	Chromosome	PA14_04580	gene	407469	407975	+	folA
test	NC_008463	Chromosome	PA14_04590	gene	407991	408464	-	
test	NC_008463	Chromosome	PA14_04610	gene	408603	409988	-	yicE
test	NC_008463	Chromosome	PA14_04630	gene	410218	412056	-	ilvD
test	NC_008463	Chromosome	PA14_04640	gene	412384	413580	-	
test	NC_008463	Chromosome	PA14_04650	gene	413653	414192	-	pfpI
test	NC_008463	Chromosome	PA14_04660	gene	414409	415233	+	
test	NC_008463	Chromosome	PA14_04670	gene	415292	416104	+	mutM
test	NC_008463	Chromosome	PA14_04680	gene	416181	416759	+	
test	NC_008463	Chromosome	PA14_04690	gene	416842	417186	+	
test	NC_008463	Chromosome	PA14_04700	gene	417456	418442	+	
test	NC_008463	Chromosome	PA14_04710	gene	418555	418986	-	
test	NC_008463	Chromosome	PA14_04730	gene	419138	420871	-	
test	NC_008463	Chromosome	PA14_04750	gene	420999	421250	-	fdx1
test	NC_008463	Chromosome	PA14_04760	gene	421371	421850	-	coaD
test	NC_008463	Chromosome	PA14_04780	gene	421999	423594	-	
test	NC_008463	Chromosome	PA14_04790	gene	423650	424198	-	
test	NC_008463	Chromosome	PA14_04810	gene	424253	425683	-	
test	NC_008463	Chromosome	PA14_04820	gene	425972	426619	+	
test	NC_008463	Chromosome	PA14_04830	gene	426604	427014	-	
test	NC_008463	Chromosome	PA14_04840	gene	427077	428075	-	
test	NC_008463	Chromosome	PA14_04850	gene	428112	428402	-	
test	NC_008463	Chromosome	PA14_04860	gene	428681	429277	-	yhhF
test	NC_008463	Chromosome	PA14_04870	gene	429277	430764	-	
test	NC_008463	Chromosome	PA14_04890	gene	430757	432154	-	
test	NC_008463	Chromosome	PA14_04900	gene	432275	433630	+	ftsY
test	NC_008463	Chromosome	PA14_04910	gene	433627	434298	+	ftsE
test	NC_008463	Chromosome	PA14_04920	gene	434298	435305	+	ftsX
test	NC_008463	Chromosome	PA14_04930	gene	435419	436273	+	rpoH
test	NC_008463	Chromosome	PA14_04940	gene	436338	436943	+	
test	NC_008463	Chromosome	PA14_04950	gene	436948	437679	-	mtgA
test	NC_008463	Chromosome	PA14_04960	gene	437716	438093	+	
test	NC_008463	Chromosome	PA14_04970	gene	438196	438396	+	thiS
test	NC_008463	Chromosome	PA14_04980	gene	438455	439252	+	thiG
test	NC_008463	Chromosome	PA14_05000	gene	439406	440077	+	trmB
test	NC_008463	Chromosome	PA14_05010	gene	440240	441586	+	
test	NC_008463	Chromosome	PA14_05020	gene	441599	441856	-	
test	NC_008463	Chromosome	PA14_05030	gene	441918	442241	-	
