@Pseudomonas_aeruginosa_PA14|NC_008463|6537649
@Strain	Refseq_Accession	Replicon	Locus_Tag	Feature_Type	Start	Stop	Strand	Gene_Name	Product_Name
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_00180	CDS	18789	20093	-	sun	putative_tRNA_and_rRNA_cytosine-C5-methylases
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_00190	CDS	20090	21034	-	fmt	methionyl-tRNA_formyltransferase
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_00200	CDS	21088	21594	-	def	peptide_deformylase
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_00210	CDS	21733	22758	+		lysin_domain-containing_protein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_00230	CDS	22893	23981	+	smf	putative_Rossmann_fold_nucleotide-binding_protein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_00240	CDS	24022	24579	+		hypothetical_protein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_00250	CDS	24589	25566	-	qor	quinone_oxidoreductase
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_00280	CDS	25757	26674	+	hemF	coproporphyrinogen_III_oxidase
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_00290	CDS	26732	27556	+	aroE	shikimate_5-dehydrogenase
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_00300	CDS	27667	28653	+	plcB	phospholipase_C,_PlcB
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_00310	CDS	28634	29920	+		putative_peptidyl-prolyl_isomerase
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_00320	CDS	29917	30519	+		hypothetical_protein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_00340	CDS	30523	32076	-		putative_sulfate_transporter
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_00360	CDS	32081	33004	-		hypothetical_protein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_00380	CDS	33021	34532	-	betC	choline_sulfatase
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_00400	CDS	34645	35559	+		LysR_family_transcriptional_regulator
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_00410	CDS	35570	35947	+		putative_dioxygenase
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_00420	CDS	35926	36291	-		histidine_phosphotransfer_domain-containing_protein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_00430	CDS	36299	36922	-	bvga	putative_two-component_response_regulator
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_00440	CDS	37108	37914	-	trpA	tryptophan_synthase_subunit_alpha
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_00450	CDS	37911	39119	-	trpB	tryptophan_synthase_subunit_beta
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_00460	CDS	39223	40110	+	trpI	transcriptional_regulator_TrpI
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_00470	CDS	40211	40426	+		hypothetical_protein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_00480	CDS	40610	40837	+		hypothetical_protein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_00490	CDS	41133	42821	+		putative_hemolysin_activation/secretion_protein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_00510	CDS	42934	53265	+		putative_hemagglutinin
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_00520	CDS	54577	54699	+		hypothetical_protein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_00530	CDS	54909	55304	+		hypothetical_protein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_00550	CDS	55575	56984	-		hypothetical_protein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_00560	CDS	57148	58476	+	exoT	exoenzyme_T
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_00570	CDS	59018	59704	+		putative_lipoprotein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_00580	CDS	59735	60088	+		putative_lipoprotein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_00590	CDS	60241	60750	+		putative_lipoprotein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_00600	CDS	60765	61148	-		putative_transcriptional_regulator
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_00620	CDS	61430	63091	-		hypothetical_protein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_00630	CDS	63701	63841	+		hypothetical_protein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_00640	CDS	64665	66497	+	phzH	potential_phenazine-modifying_enzyme
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_00650	CDS	66550	66978	-		hypothetical_protein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_00660	CDS	67187	67735	-		RNA_2'-phosphotransferase-like_protein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_00670	CDS	67774	68280	-		hypothetical_protein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_00680	CDS	68346	69266	-		LysR_family_transcriptional_regulator
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_00690	CDS	69374	70261	+		hypothetical_protein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_00700	CDS	70324	71028	+		hypothetical_protein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_00710	CDS	71112	71567	+	osmC	osmotically_inducible_protein_OsmC
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_00720	CDS	71678	71911	+		hypothetical_protein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_00730	CDS	71923	72360	-		hypothetical_protein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_00740	CDS	72417	72833	-		putative_lipoprotein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_00750	CDS	72925	74052	+		hypothetical_protein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_00760	CDS	74060	75043	-		hypothetical_protein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_00770	CDS	75076	75741	-		hypothetical_protein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_00780	CDS	75734	76276	-		hypothetical_protein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_00790	CDS	76354	78399	+	prlC	oligopeptidase_A
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_00800	CDS	78396	78671	+		hypothetical_protein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_00810	CDS	78760	79818	+		putative_DNA_repair_photolyase
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_00820	CDS	80049	80963	-		hypothetical_protein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_00830	CDS	81025	82737	-		hypothetical_protein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_00850	CDS	82730	83929	-		hypothetical_protein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_00860	CDS	83929	84648	-		putative_ATP-binding_component_of_ABC_transporter
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_00875	CDS	84645	87743	-	ppkA	serine/threonine_protein_kinase_PpkA
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_00890	CDS	87751	88479	-		putative_phosphoprotein_phosphatase
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_00900	CDS	88489	89169	-		hypothetical_protein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_00910	CDS	89166	92474	-		hypothetical_protein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_00925	CDS	92696	94045	-		hypothetical_protein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_00940	CDS	94052	95386	-		hypothetical_protein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_00960	CDS	95402	95866	-		putative_lipoprotein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_00970	CDS	95911	96453	-		hypothetical_protein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_00980	CDS	96450	97409	-		hypothetical_protein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_00990	CDS	97777	98811	+		hypothetical_protein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_01010	CDS	98900	99418	+		hypothetical_protein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_01020	CDS	99431	100927	+		hypothetical_protein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_01030	CDS	101003	101491	+		hypothetical_protein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_01040	CDS	101659	102504	+		putative_secretion_protein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_01060	CDS	102506	103015	+		hypothetical_protein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_01070	CDS	103012	104871	+		hypothetical_protein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_01080	CDS	104835	105881	+		hypothetical_protein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_01100	CDS	105874	108582	+	clpB	putative_ClpA/B-type_chaperone
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_01110	CDS	108629	110560	+		Hypothetical_protein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_01120	CDS	110675	110959	-		Hypothetical_protein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_01130	CDS	110972	111205	-		hypothetical_protein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_01140	CDS	111195	112514	-		hypothetical_protein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_01150	CDS	112593	113027	-		hypothetical_protein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_01160	CDS	113281	115506	+		hypothetical_protein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_01170	CDS	115534	115983	+		hypothetical_protein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_01180	CDS	115913	117112	+		hypothetical_protein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_01190	CDS	117109	118146	+		3-oxoacyl-(acyl_carrier_protein)_synthase
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_01200	CDS	118146	119237	+		Hypothetical_protein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_01220	CDS	119248	120168	+		Hypothetical_protein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_01230	CDS	120178	121410	+		Hypothetical_protein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_01240	CDS	121786	122514	+		carbonic_anhydrase
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_01250	CDS	122725	124296	+	ychM	putative_sulfate_transporter
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_01270	CDS	124433	125029	+		hypothetical_protein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_01290	CDS	125293	126417	+	coxB	cytochrome_c_oxidase,_subunit_II
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_01300	CDS	126427	128019	+	coxA	cytochrome_c_oxidase,_subunit_I
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_01310	CDS	128030	128584	+	coxG	cytochrome_C_oxidase_assembly_protein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_01320	CDS	128595	129482	+	coIII	cytochrome_c_oxidase,_subunit_III
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_01330	CDS	129498	129707	-		hypothetical_protein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_01340	CDS	129723	130517	+		hypothetical_protein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_01350	CDS	130492	131070	+		hypothetical_protein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_01360	CDS	131135	132208	+	ctaA	hypothetical_protein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_01380	CDS	132234	133148	+	ctaB	protoheme_IX_farnesyltransferase
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_01390	CDS	133174	133809	+		hypothetical_protein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_01400	CDS	133849	134301	-	elaA	hypothetical_protein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_01410	CDS	134433	134906	+		hypothetical_protein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_01430	CDS	135162	135890	+		putative_short_chain_dehydrogenase
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_01440	CDS	135915	136502	+		hypothetical_protein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_01460	CDS	136732	138081	+	dctA	C4-dicarboxylate_transporter_DctA
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_01470	CDS	138130	138816	+		putative_transcriptional_regulator
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_01480	CDS	138917	139651	+		hypothetical_protein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_01490	CDS	139831	140241	+		putative_hemolysin
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_01500	CDS	140273	141181	-		putative_transcriptional_regulator
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_01510	CDS	141481	141762	-		hypothetical_protein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_01520	CDS	141759	141986	-		hypothetical_protein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_01540	CDS	142162	142785	-		hypothetical_protein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_01550	CDS	142886	143386	+		putative_lipoprotein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_01560	CDS	143458	143799	+	phnA	hypothetical_protein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_01580	CDS	143881	145308	-	gabP	gamma-aminobutyrate_permease
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_01600	CDS	145477	146970	-	mmsA	putative_aldehyde_dehydrogenase
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_01610	CDS	147054	147341	-		hypothetical_protein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_01620	CDS	147341	148687	-	aptA	beta_alanine--pyruvate_transaminase
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_01640	CDS	148823	149740	+		LysR_family_transcriptional_regulator
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_01660	CDS	149853	151223	-	guaD	guanine_deaminase
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_01670	CDS	152381	153952	+		putative_ATP-binding_component_of_ABC_transporter
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_01680	CDS	153952	155049	+		putative_permease_of_ABC_transporter
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_01690	CDS	155072	156052	+		putative_permease_of_ABC_transporter
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_01710	CDS	156164	156727	+	ahpC	alkyl_hydroperoxide_reductase_subunit_C
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_01720	CDS	156872	158437	+	ahpF	alkyl_hydroperoxide_reductase_subunit_F
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_01730	CDS	158517	159413	-		hypothetical_protein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_01750	CDS	159868	161217	+		hydroxydechloroatrazine_ethylaminohydrolase
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_01760	CDS	161387	162376	+	nuh	nonspecific_ribonucleoside_hydrolase
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_01770	CDS	162413	163261	-		putative_nucleoside-binding_outer_membrane_protein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_01780	CDS	163296	163922	-		putative_nucleoside_2-deoxyribosyltransferase
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_01790	CDS	164072	164590	-		putative_nucleoside_2-deoxyribosyltransferase
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_01800	CDS	164828	165925	+		hypothetical_protein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_01810	CDS	165998	166960	+		putative_oxidoreductase
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_01830	CDS	167065	168015	+	add	adenosine_deaminase
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_01840	CDS	168212	168757	+		RNA_polymerase_ECF-subfamily_sigma-70_factor
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_01860	CDS	168754	169749	+		putative_transmembrane_sensor
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_01870	CDS	169897	172284	+		putative_TonB-dependent_receptor
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_01890	CDS	172662	173489	+	pcaQ	transcriptional_regulator_PcaQ
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_01900	CDS	173624	174343	+	pcaH	protocatechuate_3,4-dioxygenase,_beta_subunit
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_01910	CDS	174354	174959	+	pcaG	protocatechuate_3,4-dioxygenase,_alpha_subunit
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_01930	CDS	175175	176014	+	pcaR	transcriptional_regulator_PcaR
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_01940	CDS	176167	177318	+		putative_RND_efflux_membrane_fusion_protein_precursor
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_01960	CDS	177315	178385	+		putative_RND_efflux_membrane_fusion_protein_precursor
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_01970	CDS	178382	181429	+		putative_RND_efflux_transporter
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_01980	CDS	181628	182566	+		LysR_family_transcriptional_regulator
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_01990	CDS	182682	182867	+		hypothetical_protein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_02010	CDS	183147	183299	+		hypothetical_protein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_02020	CDS	183454	184788	+		putative_outer_membrane_porin
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_02030	CDS	184817	185614	-		AraC_family_transcriptional_regulator
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_02050	CDS	185692	187308	+		putative_gamma-glutamyltranspeptidase
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_02060	CDS	187980	188816	+		hypothetical_protein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_02070	CDS	189058	190464	+		putative_transporter
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_02090	CDS	190557	191222	+		TetR_family_transcriptional_regulator
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_02100	CDS	191228	191818	+		hypothetical_protein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_02110	CDS	191825	192532	-		GGDEF_domain-containing_protein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_02130	CDS	192659	193039	-		hypothetical_protein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_02140	CDS	193066	193608	-		hypothetical_protein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_02150	CDS	193617	195608	-		hypothetical_protein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_02180	CDS	195871	196920	-	cheB	chemotaxis-specific_methylesterase
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_02190	CDS	196940	197542	-	cheD	hypothetical_protein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_02200	CDS	197548	198390	-	cheR	putative_chemotaxis_protein_methyltransferase
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_02220	CDS	198460	200499	-		putative_chemotaxis_transducer
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_02230	CDS	200535	201020	-	cheW	putative_purine-binding_chemotaxis_protein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_02250	CDS	201007	202926	-	cheA	putative_two-component_sensor
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_02260	CDS	202954	203319	-	cheY	putative_two-component_response_regulator
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_02270	CDS	203517	204689	-		putative_chemotaxis_transducer
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_02290	CDS	204880	205815	-		LysR_family_transcriptional_regulator
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_02300	CDS	205932	206684	+	fabG	3-ketoacyl-(acyl-carrier-protein)_reductase
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_02310	CDS	206784	208394	-	atsA	arylsulfatase
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_02330	CDS	208482	209321	-	atsC	ABC_transporter_ATP-binding_protein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_02340	CDS	209318	210934	-	atsB	putative_permease_of_ABC_transporter
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_02360	CDS	211201	212262	+	atsR	putative_binding_protein_component_of_ABC_transporter
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_02370	CDS	212285	213643	-		putative_porin
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_02380	CDS	213891	214616	+		putative_acid_phosphatase
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_02390	CDS	214640	215557	-		putative_transcriptional_regulator
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_02410	CDS	215908	218280	+		putative_TonB-dependent_receptor
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_02420	CDS	218321	219223	+	atsK	hypothetical_protein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_02435	CDS	219291	220190	+		hypothetical_protein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_02450	CDS	220837	221955	+		putative_NAD(P)_transhydrogenase,_subunit_alpha_part_1
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_02460	CDS	222031	222339	+		putative_NAD(P)_transhydrogenase,_subunit_alpha_part_2
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_02470	CDS	222339	223775	+	pntB	pyridine_nucleotide_transhydrogenase,_beta_subunit
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_02490	CDS	224119	224931	+	tonB2	hypothetical_protein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_02500	CDS	224960	225679	+	exbB1	transport_protein_ExbB
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_02510	CDS	225681	226082	+	exbD1	transport_protein_ExbD
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_02520	CDS	226263	226475	-		hypothetical_protein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_02530	CDS	226691	227272	+		hypothetical_protein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_02550	CDS	227383	229047	+	mdcA	malonate_decarboxylase_alpha_subunit
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_02560	CDS	229047	229928	+	mdcB	triphosphoribosyl-dephospho-CoA_synthase
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_02570	CDS	229930	230229	+	mdcC	malonate_decarboxylase_subunit_delta
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_02580	CDS	230222	231085	+	mdcD	malonate_decarboxylase_subunit_beta
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_02590	CDS	231082	231888	+	mdcE	malonate_decarboxylase_gamma_subunit
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_02610	CDS	231904	232596	+	mdcG	phosphoribosyl-dephospho-CoA_transferase
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_02620	CDS	232593	233525	+	mdcH	putative_epsilon_subunit_of_malonate_decarboxylase
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_02630	CDS	233582	233986	+	mdcL	putative_malonate_carrier_protein
